section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Lab for PHY 2200,Lab,Physics - CPS,2201,02,1,40064,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: Churchill Hall,Room: 319,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"1 of 10 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for PHY 2200,Lab,Physics - CPS,2201,03,1,40509,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: Churchill Hall,Room: 319,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 10 seats remain.,
Comparative Politics,Lecture,Political Science - CPS,1200,01,3,40371,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management Fundamentals - Project Initiation and Close,Lecture,Project Management - CPS,1100,01,3,40205,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"7 of 30 seats remain.
5 of 5 waitlist seats remain.",7,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management Fundamentals - Project Initiation and Close,Lecture,Project Management - CPS,1100,02,3,40298,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 215,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,18 of 25 seats remain.,18,,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Planning,Lecture,Project Management - CPS,1400,01,3,40206,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 30 seats remain.,1,,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality and Risk,Lecture,Project Management - CPS,2100,01,3,40363,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,26 of 30 seats remain.,26,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Agile Projects,Lecture,Project Management - CPS,3000,01,3,40500,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program and Project Portfolio Management,Lecture,Project Management - CPS,4000,01,3,40342,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Behavioral Health Science Professions,Lecture,Psychology - CPS,1050,01,3,40335,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,12 of 30 seats remain.,12,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Behavioral Health Science Professions,Lecture,Psychology - CPS,1050,03,3,40582,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 209,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"21 of 25 seats remain.
5 of 5 waitlist seats remain.",21,5,CPS-Programs-UG,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Psychology,Lecture,Psychology - CPS,1100,01,3,40067,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"6 of 30 seats remain.
5 of 5 waitlist seats remain.",6,5,NUpath Natural/Designed World,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Psychology,Lecture,Psychology - CPS,1100,02,3,40139,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 160,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 25 seats remain.
5 of 5 waitlist seats remain.",14,5,NUpath Natural/Designed World,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Human Learning,Lecture,Psychology - CPS,2110,01,3,40279,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stress, Resilience, and Behavior Change",Lecture,Psychology - CPS,2230,04,3,40224,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,5 of 30 seats remain.,5,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stress, Resilience, and Behavior Change",Lecture,Psychology - CPS,2230,06,3,40572,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"19 of 30 seats remain.
5 of 5 waitlist seats remain.",19,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Sexuality and Love,Lecture,Psychology - CPS,2240,01,3,40150,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,"11 of 30 seats remain.
5 of 5 waitlist seats remain.",11,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Behavior Analysis 1,Lecture,Psychology - CPS,2500,01,3,40501,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Psychology,Lecture,Psychology - CPS,3200,02,3,40568,None,M,T,W,T,F,S,-,Building: Virtual Space- Online class,Room: ROOM,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"26 of 30 seats remain.
5 of 5 waitlist seats remain.",26,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal Psychology,Lecture,Psychology - CPS,3210,01,3,40068,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"3 of 30 seats remain.
5 of 5 waitlist seats remain.",3,5,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognition and Language,Lecture,Psychology - CPS,3220,01,3,40429,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,17 of 30 seats remain.,17,,Low Enrollment,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development across the Life Span,Lecture,Psychology - CPS,3230,01,3,40069,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"15 of 30 seats remain.
15 of 15 waitlist seats remain.",15,15,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensation and Perception,Lecture,Psychology - CPS,3240,01,3,40070,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"23 of 30 seats remain.
5 of 5 waitlist seats remain.",23,5,Low Enrollment,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autism Spectrum Disorders,Lecture,Psychology - CPS,3330,01,3,40369,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,26 of 30 seats remain.,26,,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research in Psychology,Lecture,Psychology - CPS,3450,01,3,40339,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,18 of 30 seats remain.,18,,NUpath Writing Intensive,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavior Measurement,Lecture,Psychology - CPS,3700,01,3,40427,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,27 of 30 seats remain.,27,,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physiological Psychology,Lecture,Psychology - CPS,4230,01,3,40340,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,13 of 30 seats remain.,13,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personality,Lecture,Psychology - CPS,4310,01,3,40210,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,15 of 30 seats remain.,15,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavior Assessment and Evaluation,Lecture,Psychology - CPS,4400,01,3,40428,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,29 of 30 seats remain.,29,,Low Enrollment,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Practicum 1,Lecture,Psychology - CPS,4600,01,3,40330,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/25/2025,Online,21 of 30 seats remain.,21,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Research Seminar in Psychology,Lecture,Psychology - CPS,4850,01,3,40321,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,19 of 30 seats remain.,19,,NUpath Capstone Experience,,,,,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,,,
Senior Research Seminar in Psychology,Lecture,Psychology - CPS,4850,02,3,40503,Tuesday,M,W,T,F,S,T,12:25 PM - 02:55 PM,Building: Lucie Stern,Room: 027,Start Date: 01/06/2025,End Date: 04/26/2025,"Oakland, CA",29 of 30 seats remain.,29,,NUpath Capstone Experience,12,25,02,55,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,,,
Introduction to Epidemiology,Lecture,Public Health,5202,01,3,40437,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 2 seats remain.,1,,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biostatistics in Public Health,Lecture,Public Health,5210,01,3,40438,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 3 seats remain.,1,,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Society, Behavior, and Health",Lecture,Public Health,6204,01,3,40439,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 2 seats remain.,1,,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology - CPS,1100,02,3,40336,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,10 of 30 seats remain.,10,,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Sociology,Lecture,Sociology - CPS,1100,03,3,40580,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 209,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"24 of 25 seats remain.
5 of 5 waitlist seats remain.",24,5,NUpath Societies/Institutions,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociology of Boston,Lecture,Sociology - CPS,1210,01,3,40372,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 202,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,7 of 25 seats remain.,7,,NUpath Difference/Diversity,05,50,08,20,NUpath Societies/Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Engaging Difference and Diversity,Lecture,Sociology - CPS,1220,01,3,40072,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"8 of 30 seats remain.
5 of 5 waitlist seats remain.",8,5,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Race and Ethnicity,Lecture,Sociology - CPS,1230,02,3,40504,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/26/2025,End Date: 04/26/2025,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,NUpath Difference/Diversity,,,,,NUpath Interpreting Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPS-Programs-UG,,,
Popular Culture,Lecture,Sociology - CPS,2100,01,3,40362,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 202,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,7 of 25 seats remain.,7,,NUpath Interpreting Culture,05,50,08,20,CPS-Programs-UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Web,Lecture,Technical Communic - CPS,3450,01,3,40065,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,NUpath Writing Intensive,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing for the Web,Lecture,Technical Communic - CPS,3450,02,3,40422,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: 89 Broad Street,Room: 235,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 16 seats remain.
5 of 5 waitlist seats remain.",7,5,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
