section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Case Study in Global Studies,Lecture,Global Studies - CPS,6920,11,4,80548,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 220,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"11 of 12 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Professional Programs GR 2,CPS Digital Badge,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST: Career Coaching in IR,Lecture,Global Studies - CPS,7983,03,2,80687,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,CPS-Professional Programs GR 2,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ST: Food, Trade, and Power",Lecture,Global Studies - CPS,7983,04,2,81369,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 2,Topics Course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Homeland Security,Lecture,Homeland Security - CPS,6000,01,3,80381,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Infrastructure and Protection,Lecture,Homeland Security - CPS,6040,01,3,81335,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Planning and Budgeting,Lecture,Homeland Security - CPS,6060,01,3,81336,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essentials of Emergency Management,Lecture,Homeland Security - CPS,6150,01,3,81337,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creating a High-Performance Organization: Strategic Organizational and HRM Choices,Lecture,Human Resources Mgmt - CPS,6005,01,3,80116,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,23 of 30 seats remain.,23,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation and Benefits,Lecture,Human Resources Mgmt - CPS,6010,01,3,80427,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 130,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"13 of 30 seats remain.
6 of 6 waitlist seats remain.",13,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation and Benefits,Lecture,Human Resources Mgmt - CPS,6010,02,3,80531,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"10 of 30 seats remain.
6 of 6 waitlist seats remain.",10,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Human Resources Management,Lecture,Human Resources Mgmt - CPS,6015,01,3,80267,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 370,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Human Resources Management,Lecture,Human Resources Mgmt - CPS,6015,02,3,80876,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce Analytics,Lecture,Human Resources Mgmt - CPS,6025,01,3,80268,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 125,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,CPS-Leadership Programs GR 1,CPS Digital Badge,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workforce Analytics,Lecture,Human Resources Mgmt - CPS,6025,02,3,80494,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Human Resources Platforms,Lecture,Human Resources Mgmt - CPS,6035,01,3,80532,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"18 of 30 seats remain.
6 of 6 waitlist seats remain.",18,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Human Resources Platforms,Lecture,Human Resources Mgmt - CPS,6035,02,3,80566,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 009,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"9 of 20 seats remain.
6 of 6 waitlist seats remain.",9,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Human Resources Lab,Lab,Human Resources Mgmt - CPS,6036,01,1,80565,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,27 of 30 seats remain.,27,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Workforce Planning,Lecture,Human Resources Mgmt - CPS,6042,01,3,80495,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"16 of 30 seats remain.
6 of 6 waitlist seats remain.",16,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Workforce Planning,Lecture,Human Resources Mgmt - CPS,6042,02,3,80533,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 225,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"23 of 30 seats remain.
6 of 6 waitlist seats remain.",23,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing the Employee Life Cycle,Lecture,Human Resources Mgmt - CPS,6047,01,3,80429,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 012,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"21 of 30 seats remain.
6 of 6 waitlist seats remain.",21,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing the Employee Life Cycle,Lecture,Human Resources Mgmt - CPS,6047,02,3,80534,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"20 of 30 seats remain.
6 of 6 waitlist seats remain.",20,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Engagement,Lecture,Human Resources Mgmt - CPS,6050,01,3,80743,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"15 of 30 seats remain.
6 of 6 waitlist seats remain.",15,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Human Resources Management,Lecture,Human Resources Mgmt - CPS,6070,01,3,80535,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 210,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"20 of 30 seats remain.
6 of 6 waitlist seats remain.",20,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Human Resources Mgmt - CPS,6940,01,4,80496,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"6 of 20 seats remain.
6 of 6 waitlist seats remain.",6,6,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Human Resources Mgmt - CPS,6940,02,4,80571,Thursday,S,M,T,W,F,S,T,05:50 PM - 09:20 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 105,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"11 of 20 seats remain.
6 of 6 waitlist seats remain.",11,6,CPS-Leadership Programs GR 1,CPS Digital Badge,05,50,09,20,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,6000,01,3,80028,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 429,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,6000,02,3,80211,Friday,S,M,T,W,T,S,F,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 153,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,6000,03,3,80412,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 157,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,6000,05,3,81216,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"25 of 30 seats remain.
10 of 10 waitlist seats remain.",25,10,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,6000,10,3,80936,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 215,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",16 of 32 seats remain.,16,,CPS-Professional Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Strategy and Governance,Lecture,Information Tech - CPS,6010,01,3,80040,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 130,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Information Architecture,Lecture,Information Tech - CPS,6015,01,3,80351,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 226,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Information Architecture,Lecture,Information Tech - CPS,6015,03,3,80577,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"20 of 30 seats remain.
6 of 6 waitlist seats remain.",20,6,Toronto program eligible,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Systems Design and Development,Lecture,Information Tech - CPS,6020,01,3,80794,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 102,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Systems Design and Development,Lecture,Information Tech - CPS,6020,02,3,81257,Monday,S,T,W,T,F,S,M,03:00 PM - 05:40 PM,Type: Class,Type:,Building: First Canadian Place,Building:,Room: 003,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",10 of 30 seats remain.,10,,CPS-Professional Programs GR 1,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Project Management,Lecture,Information Tech - CPS,6035,01,3,80198,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 017,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Project Management,Lecture,Information Tech - CPS,6035,02,3,81258,Tuesday,S,M,W,T,F,S,T,12:00 PM - 02:40 PM,Type: Class,Type:,Building: First Canadian Place,Building:,Room: 002,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada",10 of 30 seats remain.,10,,CPS-Professional Programs GR 1,,12,00,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatics Capstone,Lecture,Information Tech - CPS,6040,01,3,80010,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 04/22/2025,Start Date:,End Date: 04/22/2025,End Date:,Boston,"12 of 20 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Professional Programs GR 1,XN Experiential Project,05,50,08,30,,,,Tuesday,S,M,W,T,F,S,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 05/06/2025,Start Date:,End Date: 05/06/2025,End Date:,Tuesday,M,T,W,T,F,S,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 05/20/2025,Start Date:,End Date: 05/20/2025,End Date:,Tuesday,M,T,W,T,F,S,S,05:50 PM - 08:30 PM,05,50,08,30,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 102,Room:,Start Date: 06/03/2025,Start Date:,End Date: 06/03/2025,End Date:,M,T,W,F,S,Start Date: 06/17/2025,End Date: 06/17/2025,M,T,W,T,S,T,Building: Kariotis Hall,Room: 102,Start Date: 04/08/2025,End Date: 04/08/2025,,
Informatics Capstone,Lecture,Information Tech - CPS,6040,02,3,80971,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"17 of 20 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Professional Programs GR 1,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatics Capstone,Lecture,Information Tech - CPS,6040,03,3,81259,Friday,S,M,T,W,T,S,F,03:00 PM - 05:40 PM,Type: Class,Type:,Building: First Canadian Place,Building:,Room: 004,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",4 of 30 seats remain.,4,,CPS-Professional Programs GR 1,XN Experiential Project,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Information Security,Lecture,Information Tech - CPS,6300,01,3,80019,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 121,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Information Security,Lecture,Information Tech - CPS,6300,02,3,81260,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"27 of 30 seats remain.
6 of 6 waitlist seats remain.",27,6,Toronto program eligible,CPS-Professional Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IT Infrastructure (Systems, Networks, Telecom)",Lecture,Information Tech - CPS,6305,01,3,80174,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 155,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,CPS-Professional Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IT Infrastructure (Systems, Networks, Telecom)",Lecture,Information Tech - CPS,6305,02,3,81261,Tuesday,S,M,W,T,F,S,T,03:00 PM - 05:40 PM,Type: Class,Type:,Building: First Canadian Place,Building:,Room: 003,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,"Toronto, Canada","23 of 30 seats remain.
6 of 6 waitlist seats remain.",23,6,CPS-Professional Programs GR 1,,03,00,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
