section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Fiction Workshop,Seminar,English,3378,01,4,61763,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NUpath Creative Express/Innov,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,English,6964,01,0,60787,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,5,GS Col Socl Sci & Humanities,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Year Writing,Lecture,English Writing,1111,01,4,60160,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Stearns Center,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,8,NU Core/NUpath 1st Yr Writing,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,02,4,60333,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 238,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,03,4,60886,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 204,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,04,4,60583,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 283,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,05,4,60332,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Stearns Center,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,06,4,60162,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 220,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,07,4,60163,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 238,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,08,4,60208,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,09,4,60299,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,10,4,60330,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,11,4,60329,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,12,4,60385,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Technical Professions,Lecture,English Writing,3302,13,4,61200,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,01,4,60183,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 283,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,04,4,61201,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 204,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,05,4,60189,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 283,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,06,4,60292,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,07,4,60300,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,08,4,60328,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,09,4,60327,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,10,4,60751,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Business Administration Professions,Lecture,English Writing,3304,11,4,61202,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,01,4,60164,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Health Professions,Lecture,English Writing,3306,02,4,60190,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,01,4,60202,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 238,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,02,4,60888,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Stearns Center,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,03,4,60326,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,04,4,60467,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Sciences,Lecture,English Writing,3307,05,4,61415,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 277,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Social Sciences,Lecture,English Writing,3308,01,4,60398,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing in the Social Sciences,Lecture,English Writing,3308,02,4,61203,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 277,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Writing for Prelaw,Lecture,English Writing,3311,01,4,60331,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Writing in the Arts, Media, and Design",Lecture,English Writing,3314,01,4,60390,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Writing in the Arts, Media, and Design",Lecture,English Writing,3314,02,4,60889,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Advanced Writing in the Disciplines,Lecture,English Writing,3315,01,4,60185,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 220,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,2,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Advanced Writing in the Disciplines,Lecture,English Writing,3315,02,4,60468,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 275,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Advanced Writing in the Disciplines,Lecture,English Writing,3315,03,4,60429,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 204,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,6,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterdiscAWD MultilingualWrite,Lecture,English Writing,3315,04,4,60188,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 15 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Advanced Writing in the Disciplines,Lecture,English Writing,3315,05,4,60186,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,0 of 6 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Advanced Writing in the Disciplines,Lecture,English Writing,3315,06,4,60187,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,NU Core/NUpath Adv Writ Dscpl,UG Col Socl Sci & Humanities,,,,,,0 of 6 waitlist seats remain.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing Strategies for Startups,Lecture,Entrepreneurship & Innovation,2303,01,4,60463,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management,Lecture,Finance & Insurance,2201,01,4,60024,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 070,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management,Lecture,Finance & Insurance,2201,02,4,60023,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,11:40 AM - 01:20 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,5,Business Admin,,11,40,01,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management,Lecture,Finance & Insurance,2201,03,4,61269,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 55 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management,Lecture,Finance & Insurance,2201,04,4,61287,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 55 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fintech and Financial Innovation,Lecture,Finance & Insurance,2730,01,4,61380,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,08:00 AM - 09:40 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,23,Business Admin,,08,00,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Finance,Lecture,Finance & Insurance,3301,01,4,61802,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,09:50 AM - 11:30 AM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,,1,Business Admin,,09,50,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corporate Finance,Lecture,Finance & Insurance,3301,02,4,61943,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 37 seats remain.,FULL,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,Lecture,Finance & Insurance,3303,01,4,60944,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,01:30 PM - 03:10 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 005,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,01,30,03,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Modeling,Lecture,Finance & Insurance,4370,01,4,61388,"Monday,Tuesday,Wednesday,Thursday",S,F,S,M,T,W,T,03:20 PM - 05:00 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 012,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Boston,FULL: 0 of 40 seats remain.,FULL,Business Admin,,03,20,05,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Analysis,Lecture,Finance & Insurance,6203,01,3,61803,"Monday,Wednesday",S,T,T,M,W,F,S,05:20 PM - 07:20 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 015,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,18,GSBA Business Administration,,05,20,07,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed-Income Securities and Risk,Lecture,Finance & Insurance,6212,01,3,61385,"Tuesday,Thursday",S,M,W,T,T,F,S,07:30 PM - 09:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 275,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,29,GSBA Business Administration,,07,30,09,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
